2.164907e-06+0.000000e+00i 1.606476e-06+0.000000e+00i
1.953807e-06+0.000000e+00i 2.710413e-06+0.000000e+00i
2.970730e-06+0.000000e+00i 1.705400e-06+0.000000e+00i
2.813795e-06+0.000000e+00i 2.074635e-06+0.000000e+00i
2.761944e-06+0.000000e+00i 1.878284e-06+0.000000e+00i
3.093857e-06+0.000000e+00i 2.248188e-06+0.000000e+00i
2.794257e-06+0.000000e+00i 1.918214e-06+0.000000e+00i
2.883138e-06+0.000000e+00i 2.012418e-06+0.000000e+00i
2.992202e-06+0.000000e+00i 1.912348e-06+0.000000e+00i
2.977419e-06+0.000000e+00i 1.966258e-06+0.000000e+00i
2.997038e-06+0.000000e+00i 1.981665e-06+0.000000e+00i
2.991958e-06+0.000000e+00i 1.998397e-06+0.000000e+00i
3.010568e-06+0.000000e+00i 1.957808e-06+0.000000e+00i
2.948427e-06+0.000000e+00i 1.966560e-06+0.000000e+00i
2.978584e-06+0.000000e+00i 1.962978e-06+0.000000e+00i
2.933464e-06+0.000000e+00i 1.977558e-06+0.000000e+00i
2.972147e-06+0.000000e+00i 1.985246e-06+0.000000e+00i
3.014723e-06+0.000000e+00i 1.947000e-06+0.000000e+00i
3.008633e-06+0.000000e+00i 1.992741e-06+0.000000e+00i
2.990471e-06+0.000000e+00i 1.951784e-06+0.000000e+00i
3.026682e-06+0.000000e+00i 2.009053e-06+0.000000e+00i
2.996880e-06+0.000000e+00i 1.956687e-06+0.000000e+00i
3.036886e-06+0.000000e+00i 2.008625e-06+0.000000e+00i
3.024912e-06+0.000000e+00i 1.973616e-06+0.000000e+00i
3.058003e-06+0.000000e+00i 1.982874e-06+0.000000e+00i
3.071634e-06+0.000000e+00i 2.005753e-06+0.000000e+00i
3.100732e-06+0.000000e+00i 1.972468e-06+0.000000e+00i
3.087231e-06+0.000000e+00i 2.016643e-06+0.000000e+00i
3.145646e-06+0.000000e+00i 1.977501e-06+0.000000e+00i
3.121677e-06+0.000000e+00i 2.010417e-06+0.000000e+00i
3.216130e-06+0.000000e+00i 1.986979e-06+0.000000e+00i
3.175152e-06+0.000000e+00i 1.990863e-06+0.000000e+00i
3.220654e-06+0.000000e+00i 2.014804e-06+0.000000e+00i
3.247581e-06+0.000000e+00i 1.997015e-06+0.000000e+00i
3.219434e-06+0.000000e+00i 2.008787e-06+0.000000e+00i
3.275331e-06+0.000000e+00i 1.987285e-06+0.000000e+00i
3.285149e-06+0.000000e+00i 1.997529e-06+0.000000e+00i
3.292576e-06+0.000000e+00i 2.017588e-06+0.000000e+00i
3.282965e-06+0.000000e+00i 1.984914e-06+0.000000e+00i
3.313286e-06+0.000000e+00i 2.024477e-06+0.000000e+00i
3.317906e-06+0.000000e+00i 1.982715e-06+0.000000e+00i
3.313914e-06+0.000000e+00i 2.019724e-06+0.000000e+00i
3.339963e-06+0.000000e+00i 1.995103e-06+0.000000e+00i
3.345112e-06+0.000000e+00i 2.007498e-06+0.000000e+00i
3.326245e-06+0.000000e+00i 2.007057e-06+0.000000e+00i
3.325642e-06+0.000000e+00i 1.997443e-06+0.000000e+00i
3.351320e-06+0.000000e+00i 1.997409e-06+0.000000e+00i
3.357956e-06+0.000000e+00i 2.024133e-06+0.000000e+00i
3.345008e-06+0.000000e+00i 1.984596e-06+0.000000e+00i
3.364736e-06+0.000000e+00i 2.020251e-06+0.000000e+00i
3.349349e-06+0.000000e+00i 1.974545e-06+0.000000e+00i
3.346322e-06+0.000000e+00i 2.018984e-06+0.000000e+00i
3.367957e-06+0.000000e+00i 2.010522e-06+0.000000e+00i
